id	orgName
dvp_003_org_0	Dartmouth Vietnam Project
dvp_003_org_1	Dartmouth College
dvp_003_org_2	[the] Taft [School]
dvp_003_org_3	Taft
dvp_003_org_4	Hartford Golf Club
dvp_003_org_5	Dartmouth
dvp_003_org_6	Taft
dvp_003_org_7	Taft
dvp_003_org_8	Taft
dvp_003_org_9	Dartmouth
dvp_003_org_10	Taft
dvp_003_org_11	Taft
dvp_003_org_12	Dartmouth
dvp_003_org_13	Dartmouth
dvp_003_org_14	Dartmouth
dvp_003_org_15	Ivy [League]
dvp_003_org_16	Taft
dvp_003_org_17	Yale [University]
dvp_003_org_18	Princeton [University]
dvp_003_org_19	Harvard [University]
dvp_003_org_20	Dartmouth
dvp_003_org_21	Taft
dvp_003_org_22	Andover [Phillips Academy Andover]
dvp_003_org_23	[Phillips] Exeter [Academy]
dvp_003_org_24	Choate [School; now Choate Rosemary Hall]
dvp_003_org_25	Hotchkiss [School]
dvp_003_org_26	Ivy League
dvp_003_org_27	Dartmouth
dvp_003_org_28	Dartmouth
dvp_003_org_29	Dartmouth
dvp_003_org_30	Dartmouth
dvp_003_org_31	Dartmouth
dvp_003_org_32	Dartmouth
dvp_003_org_33	Dartmouth
dvp_003_org_34	Dartmouth
dvp_003_org_35	Chi Phi
dvp_003_org_36	Chi Heorot
dvp_003_org_37	AD [Alpha Delta]
dvp_003_org_38	AD
dvp_003_org_39	Chi Phi
dvp_003_org_40	Ivy League
dvp_003_org_41	Dartmouth lacrosse team
dvp_003_org_42	Dartmouth
dvp_003_org_43	Dartmouth
dvp_003_org_44	Chi Phi
dvp_003_org_45	Dragon [Society]
dvp_003_org_46	Dragon
dvp_003_org_47	Sphinx [Society]
dvp_003_org_48	Casque and Gauntlet
dvp_003_org_49	Treasury
dvp_003_org_50	Casque and Gauntlet
dvp_003_org_51	Dartmouth
dvp_003_org_52	[Class of 1926]
dvp_003_org_53	Dartmouth
dvp_003_org_54	Dartmouth
dvp_003_org_55	the Montreal Neurological Hospital
dvp_003_org_56	Montreal Neurological Institute
dvp_003_org_57	Dartmouth
dvp_003_org_58	Dartmouth
dvp_003_org_59	International Voluntary Services
dvp_003_org_60	Peace Corps
dvp_003_org_61	Peace Corps
dvp_003_org_62	Taft
dvp_003_org_63	International Voluntary Services
dvp_003_org_64	IVS
dvp_003_org_65	IVS
dvp_003_org_66	Peace Corps
dvp_003_org_67	IVS
dvp_003_org_68	Dartmouth
dvp_003_org_69	Dartmouth
dvp_003_org_70	IVS
dvp_003_org_71	IVS
dvp_003_org_72	IVS
dvp_003_org_73	Taft
dvp_003_org_74	Dartmouth
dvp_003_org_75	Dartmouth
dvp_003_org_76	Dartmouth
dvp_003_org_77	Dartmouth
dvp_003_org_78	IVS
dvp_003_org_79	IVS
dvp_003_org_80	International Voluntary Services
dvp_003_org_81	Dartmouth
dvp_003_org_82	IVS
dvp_003_org_83	IVS
dvp_003_org_84	VISTA
dvp_003_org_85	Volunteers in Service to America
dvp_003_org_86	VISTA
dvp_003_org_87	AmeriCorps
dvp_003_org_88	IVS
dvp_003_org_89	Saigon University
dvp_003_org_90	Saigon University
dvp_003_org_91	Taft
dvp_003_org_92	Dartmouth
dvp_003_org_93	Special Forces
dvp_003_org_94	Special Forces
dvp_003_org_95	IVS
dvp_003_org_96	IVS
dvp_003_org_97	Wesleyan [University]
dvp_003_org_98	Nikki [Archivist Note: spelling uncertain]
dvp_003_org_99	de Havilland Aircraft [of Canada Ltd.]
dvp_003_org_100	IVS
dvp_003_org_101	Special Forces
dvp_003_org_102	Special Forces
dvp_003_org_103	Dartmouth
dvp_003_org_104	ROTC [Reserve Officers’ Training Corps]
dvp_003_org_105	[U.S.] Marines
dvp_003_org_106	[U.S.] Navy
dvp_003_org_107	Chi Phi
dvp_003_org_108	Chi Phi
dvp_003_org_109	High Hope Farm
dvp_003_org_110	[U.S.] Army Security Agency
dvp_003_org_111	Army
dvp_003_org_112	Monterey Defense Language Institute
dvp_003_org_113	Army
dvp_003_org_114	USC [University of Southern California]
dvp_003_org_115	USC
dvp_003_org_116	School of Education
dvp_003_org_117	USC
dvp_003_org_118	Army
dvp_003_org_119	Peace Corps
dvp_003_org_120	Army
dvp_003_org_121	Army
dvp_003_org_122	Army Security Agency
dvp_003_org_123	Pan American Airlines [sic; Pan American World Airways]
dvp_003_org_124	Pan Am
dvp_003_org_125	Army
dvp_003_org_126	Ivy League
dvp_003_org_127	Ivy League
dvp_003_org_128	Army
dvp_003_org_129	Committee of Responsibility
dvp_003_org_130	IVS
dvp_003_org_131	IVS
dvp_003_org_132	Army Security Agency
dvp_003_org_133	Army
dvp_003_org_134	Committee of Responsibility
dvp_003_org_135	PBS [Public Broadcasting Service]
dvp_003_org_136	the Community of Responsibility
dvp_003_org_137	California Pacific Medical Center
dvp_003_org_138	Department of Psychiatry
dvp_003_org_139	Galileo High School [now Galileo Academy of Science and Technology]
dvp_003_org_140	American Council for Nationalities Services
dvp_003_org_141	Lutheran Immigration and Resettlement [sic; Lutheran Immigrant and Refugee Service]
dvp_003_org_142	Catholic Relief Services
dvp_003_org_143	San Francisco State University
dvp_003_org_144	San Francisco State
